"id","site","long","lat","state","pi","depth","ASH","BEECH","BIRCH","ELM","HEMLOCK","MAPLE","OAK","OTHER.CONIFER","OTHER.HARDWOOD","PINE","SPRUCE","TAMARACK"
"12016","Albert Lea Lake",-93.2894,43.6582,"minnesota","Cushing, Edward J.",60,2,0,6,4,1,0,69,0,12.5,13,0.5,0
"29","Lake Allie",-94.5675,44.8138,"minnesota","McAndrews, John H.",40,5,0,14,15,0,2,58,0,40,27,1,0
"205","Andrus Lake",-85.040278,46.7,"michigan:north","Shane, Linda C. K.",12.25,0,3,53,3,4,7,17,1,23,109,17,1
"223","Bad Medicine Lake",-95.383333,47.133333,"minnesota","McAndrews, John H.",20,1,0,41,5,0,2,18,1,34,204,1,0
"241","Black Bass Lake",-93.703889,46.128056,"minnesota","McAndrews, John H.",10,5,0,60,7,0,3,38,0,49,167,0,3
"249","Beckman Lake",-93.183333,45.425,"minnesota","Swain, Patricia C.",83,0,0,27,4,0,3,74,0,22,53,2,4
"3062","Beckman Lake",-93.183333,45.425,"minnesota","Swain, Patricia C.",35,10,0,36,23,1,3,109,0,47,95,11,12
"272","Big John Pond",-94.966667,47.558333,"minnesota","Almendinger, John C.",20,1,0,11,3,0,1,8,0,13,192.5,7,2
"275","Billy's Lake",-94.583333,46.283333,"minnesota","Jacobson, George L., Jr.",214,0,0,22,2,0,1,15,0,33,113,0,0
"280","Blandin Pond",-93.666667,47.133333,"minnesota","Cushing, Edward J.",41,4,0,111,10,0,4,33,1.5,44,195,2.5,3
"10973","Blomford Lake",-93.157,45.496,"minnesota","Cushing, Edward J.",15,5,0,41,7,2,1,149,0,56,91,0.5,3.5
"287","Blue Mounds Creek",-89.866667,43.083333,"wisconsin","Davis, Anthony M.",11,1,0,2,5,0,6,68,4,23,43,1,0
"296","Bob Lake",-92.614722,46.633611,"minnesota","McAndrews, John H.",20,2,0,77,3,0,1,16,5,30,221,12,4
"298","Bog D",-95.166667,47.183333,"minnesota","McAndrews, John H.",50,1,0,34,2,0,3,12,3,19,233,7,7
"305","Bossuot Lake",-93.734167,44.296111,"minnesota","McAndrews, John H.",40,1,0,12,38,1,12,140,0,64,33,2,0
