"x","y","region","water","Ash","Basswood","Beech","Birch","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
877000,574000,"michigan_south",0,0.132292,0.017012,0.3982,0.002104,0.074412,0.000116,0.000464,0.035212,0.02172,0.065836,0.194212,0.000552,0.000168,0.013052,0.003544,0.015828,0.00076,0.000372,0.024144
885000,574000,"michigan_south",0,0.137308,0.018216,0.40478,0.002364,0.076276,0.000128,0.000828,0.03348,0.023816,0.064216,0.168556,0.000696,0.000172,0.017172,0.003084,0.014736,0.001492,0.00058,0.0321
893000,574000,"michigan_south",0,0.12406,0.015968,0.478328,0.001836,0.070132,0.000128,0.00064,0.026596,0.019444,0.051152,0.149324,0.000488,0.000112,0.018688,0.003316,0.012432,0.000864,0.000624,0.025868
901000,574000,"michigan_south",0,0.143824,0.021156,0.338756,0.003004,0.124968,0.000216,0.00082,0.032688,0.02776,0.072084,0.104172,0.000588,0.000248,0.06096,0.004256,0.013012,0.000908,0.000656,0.049924
909000,574000,"michigan_south",0,0.147688,0.031276,0.194392,0.003408,0.12812,0.000328,0.001036,0.040848,0.028956,0.228104,0.090996,0.000696,0.000356,0.035116,0.006272,0.020024,0.001628,0.000976,0.03978
917000,574000,"michigan_south",0,0.1531,0.037584,0.227792,0.0031,0.10642,0.000264,0.000808,0.05242,0.02396,0.123936,0.165112,0.001084,0.000316,0.032892,0.006304,0.0212,0.001048,0.000824,0.041836
925000,574000,"michigan_south",0,0.145384,0.043488,0.224404,0.003404,0.105604,0.000292,0.000924,0.058564,0.020964,0.107584,0.198464,0.000884,0.000288,0.026748,0.006872,0.0217,0.001368,0.000928,0.032136
933000,574000,"michigan_south",0,0.152752,0.056964,0.189188,0.003304,0.109008,0.000216,9e-04,0.059012,0.01846,0.096812,0.2329,0.001136,0.000304,0.018332,0.005896,0.0239,0.001392,0.000852,0.028672
941000,574000,"michigan_south",0,0.200548,0.080788,0.1787,0.003824,0.106344,0.000324,0.0012,0.055228,0.01824,0.088788,0.20408,0.001332,0.000312,0.01308,0.006184,0.021896,0.001168,0.000896,0.017068
949000,574000,"michigan_south",0,0.165444,0.07172,0.089124,0.00358,0.093084,0.000272,0.001104,0.094944,0.016836,0.077548,0.309012,0.001396,0.000324,0.010848,0.005264,0.03612,0.001348,0.000836,0.021196
957000,574000,"michigan_south",0,0.15086,0.056216,0.096384,0.003268,0.089864,0.000292,0.001324,0.088584,0.016392,0.085832,0.333284,0.00198,0.000304,0.011444,0.005432,0.029064,0.00134,0.000828,0.027308
965000,574000,"michigan_south",0,0.136268,0.052164,0.095672,0.003792,0.0942,0.000296,0.001196,0.083748,0.016564,0.091204,0.341432,0.00142,0.000228,0.012168,0.004992,0.024836,0.001588,0.000836,0.037396
973000,574000,"michigan_south",0,0.131088,0.048448,0.099204,0.003604,0.0935,0.000352,0.00114,0.07888,0.018028,0.09604,0.343712,0.002156,0.000304,0.011732,0.005028,0.025084,0.001592,0.000816,0.039292
981000,574000,"michigan_south",26,0.133888,0.045808,0.101404,0.003964,0.08966,0.000336,0.00126,0.075188,0.016968,0.093536,0.352244,0.001356,0.00028,0.011224,0.005348,0.02414,0.001808,0.001228,0.04036
741000,582000,"michigan_south",0,0.037288,0.023508,0.08312,0.001468,0.0259,5.2e-05,0.00022,0.067596,0.012428,0.042216,0.642052,0.000484,0.000112,0.007768,0.003396,0.0239,0.001684,0.00028,0.026528
749000,582000,"michigan_south",0,0.02554,0.015176,0.058152,0.00104,0.020468,4.4e-05,0.00016,0.094284,0.00878,0.032024,0.703376,4e-04,4.8e-05,0.005772,0.002864,0.014628,0.00104,0.00022,0.015984
757000,582000,"michigan_south",0,0.022888,0.009812,0.058288,0.00072,0.018272,1.6e-05,0.000112,0.104608,0.006772,0.026528,0.719068,0.000168,8e-05,0.00454,0.002268,0.011936,0.000748,0.00016,0.013016
765000,582000,"michigan_south",0,0.034444,0.009072,0.07142,0.000904,0.020876,3.2e-05,0.000212,0.107952,0.008304,0.028896,0.687636,0.00032,6.4e-05,0.006044,0.002304,0.009932,0.00072,9.6e-05,0.010772
773000,582000,"michigan_south",0,0.030856,0.004128,0.038532,0.000444,0.010668,2e-05,1e-04,0.090156,0.0042,0.012892,0.7973,6e-05,6e-05,0.002776,8e-04,0.003572,0.000344,6.4e-05,0.003028
781000,582000,"michigan_south",0,0.068768,0.007824,0.1257,0.000936,0.025548,4.8e-05,0.000208,0.02386,0.008564,0.063876,0.654112,0.000304,7.2e-05,0.00444,0.001948,0.006268,0.000492,0.000136,0.006896
789000,582000,"michigan_south",0,0.080696,0.013688,0.225156,0.001576,0.041556,6.8e-05,0.000392,0.042292,0.015416,0.07366,0.457744,0.000376,0.00012,0.009012,0.003036,0.014856,0.001036,0.000208,0.019112
797000,582000,"michigan_south",0,0.078988,0.016296,0.235264,0.001816,0.047896,9.2e-05,0.000632,0.046476,0.019644,0.072808,0.420144,0.000584,1e-04,0.010568,0.003472,0.018684,0.000904,0.000304,0.025328
805000,582000,"michigan_south",0,0.087904,0.017228,0.23402,0.001848,0.051696,1e-04,0.000528,0.045304,0.02064,0.072396,0.407804,4e-04,9.2e-05,0.012252,0.003716,0.019128,0.000856,0.000308,0.02378
