# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_lower_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_lower_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-8856.17,1,0.0625,1,0,116.186,199.482,238.176,79.929,118.947,40.119,120.056,120.675,144.866,212.714,175.704,34.053,1.08979,0.102665
-8856.17,0,14.3855,-1,1,116.186,199.482,238.176,79.929,118.947,40.119,120.056,120.675,144.866,212.714,175.704,34.053,1.08979,0.102665
-8856.17,0,2.43117,-1,1,116.186,199.482,238.176,79.929,118.947,40.119,120.056,120.675,144.866,212.714,175.704,34.053,1.08979,0.102665
-8856.17,0,0.239791,-1,1,116.186,199.482,238.176,79.929,118.947,40.119,120.056,120.675,144.866,212.714,175.704,34.053,1.08979,0.102665
-8024.08,1,0.0186273,1,0,113.522,192.661,238.851,83.8038,102.479,38.4315,93.4183,101,138.236,223.655,166.418,29.4879,1.02962,0.158752
-7428.31,1,0.0257257,1,0,117.861,184.234,241.095,89.5345,85.9145,38.5143,79.6193,69.5715,122.975,230.988,153.992,23.8396,0.987456,0.270717
-7309.72,1,0.0404064,0,0,117.103,178.277,243.893,93.4752,78.3966,36.5655,80.2815,60.9199,120.983,232.88,142.999,21.8917,0.943312,0.271675
-7063.72,1,0.0687243,0,0,115.836,156.278,242.909,94.416,55.3348,32.8334,86.9341,43.2828,105.899,242.715,128.404,15.2587,0.879451,0.257243
-7063.72,0,0.122801,0,0,115.836,156.278,242.909,94.416,55.3348,32.8334,86.9341,43.2828,105.899,242.715,128.404,15.2587,0.879451,0.257243
-7024.6,1,0.00961161,2,0,119.238,148.748,242.309,92.3744,53.3132,31.7026,82.5523,40.3004,108.141,242.301,129.053,14.2192,0.867256,0.263814
-7019.7,1,0.0179176,2,0,121.213,146.66,241.945,90.4669,52.595,31.0219,80.8713,40.0921,107.456,241.635,129.985,14.0009,0.877775,0.26517
-6755.59,1,0.0339435,2,0,106.779,83.5849,231.827,83.7665,33.1812,31.0501,68.3362,18.7927,96.9846,241.619,86.7248,8.93555,0.71879,0.226405
-6704.72,0.368769,0.0648221,1,0,106.971,68.9844,220.813,81.305,31.7388,26.0353,69.0379,17.248,88.2189,237.046,86.2952,8.30146,0.659016,0.226811
-6643.91,1,0.0171483,2,0,92.157,53.4956,219.311,84.2307,35.3457,26.5715,70.1039,20.599,96.0053,224.815,85.7214,9.24914,0.58194,0.23977
-6643.91,0.746799,0.0331312,1,0,92.157,53.4956,219.311,84.2307,35.3457,26.5715,70.1039,20.599,96.0053,224.815,85.7214,9.24914,0.58194,0.23977
-6368.07,0.946015,0.0291263,3,0,65.6275,11.5578,78.2754,55.1574,23.594,11.2748,44.8913,10.7496,53.0339,125.774,44.3853,4.01866,0.148143,0.100488
-6321.71,1,0.0475302,1,0,62.7206,12.7099,90.3798,54.3267,21.9555,11.9156,48.1183,11.6551,48.0667,120.749,45.9761,3.98193,0.157408,0.100035
-6256.85,0.341022,0.0910839,1,0,54.5871,14.4562,93.5645,52.507,18.9204,12.522,49.1086,11.2727,56.1772,119.365,44.1849,3.57665,0.189851,0.146117
-6245.88,1,0.0235075,2,0,52.5945,12.8124,97.3347,50.9741,17.3641,14.831,44.6724,11.4432,48.6249,116.325,46.4915,3.5152,0.186133,0.194238
-6237.18,1,0.0450208,1,0,62.4619,12.9082,94.0795,48.0404,19.231,14.9929,45.8472,11.3386,50.8053,111.39,46.806,3.76328,0.205382,0.188181
-6237.18,6.11444e-17,0.0854412,0,0,62.4619,12.9082,94.0795,48.0404,19.231,14.9929,45.8472,11.3386,50.8053,111.39,46.806,3.76328,0.205382,0.188181
-6234.87,0.98647,0.0083515,4,0,58.8275,17.1518,96.5609,49.6137,17.4881,15.1737,41.8907,11.8737,49.8548,112.19,45.8205,4.22757,0.205683,0.218405
-6239.44,0.971594,0.0153175,3,0,58.039,17.4271,90.3358,48.0109,19.53,13.5478,45.618,13.4505,48.6834,104.108,48.0384,4.82499,0.200365,0.205445
-6233.46,1,0.0266528,2,0,58.2889,16.7935,98.3651,48.9843,18.8694,14.6509,45.6328,11.5938,50.2425,111.958,39.143,4.26011,0.211687,0.196043
