# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_pl_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 75
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_v0.1_pl_bigC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,gamma,a,b
-7665.36,1,0.0625,1,0,76.53,138.639,251.94,80.7186,45.4458,19.3945,26.5079,12.4017,35.2991,284.864,112.158,3.70812,0.309585,296.986,18.7056
-7665.36,0,14.3855,-1,1,76.53,138.639,251.94,80.7186,45.4458,19.3945,26.5079,12.4017,35.2991,284.864,112.158,3.70812,0.309585,296.986,18.7056
-7665.36,0,2.43117,-1,1,76.53,138.639,251.94,80.7186,45.4458,19.3945,26.5079,12.4017,35.2991,284.864,112.158,3.70812,0.309585,296.986,18.7056
-7665.36,0,0.239791,-1,1,76.53,138.639,251.94,80.7186,45.4458,19.3945,26.5079,12.4017,35.2991,284.864,112.158,3.70812,0.309585,296.986,18.7056
-7284.58,1,0.0186273,1,0,74.6881,126.318,248.546,76.681,45.4367,19.004,36.6167,13.124,45.0443,283.483,105.348,4.11406,0.266852,297.543,18.0042
-7002.32,1,0.0257257,1,0,72.6924,108.555,249.353,70.3071,42.9027,19.5394,53.4841,12.6152,60.7743,280.126,95.1827,4.3065,0.238816,297.337,18.1137
-6826.72,1,0.0404064,3,0,66.0985,7.86956,214.773,60.4145,48.1732,26.9248,46.2382,29.5026,57.4343,243.616,72.9229,21.9375,0.232585,288.062,26.4701
-6724.2,0.333335,0.0687243,1,0,71.9734,7.95706,210.586,58.8423,44.6999,25.6096,56.5872,24.2776,89.8156,233.078,70.6223,14.9107,0.29343,289.994,25.6198
-6717.58,0.998668,0.0151112,2,0,72.4078,8.07968,210.191,56.9471,44.874,26.1488,54.6842,24.6743,87.461,234.055,70.2214,14.8163,0.286961,290.561,25.3157
-6691.2,1,0.0274236,1,0,70.9279,8.26125,208.529,55.5156,45.0143,23.503,53.5391,24.1335,78.8735,237.003,73.1883,12.2089,0.259746,284.56,25.8551
-6585.97,0.949729,0.0511965,2,0,50.6213,19.8567,155.928,47.6962,32.5349,18.12,39.648,13.5299,59.9255,158.357,71.3606,7.38794,0.274068,305.687,40.9845
