# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_bigC_model
# method = sample (Default)
#   sample
#     num_samples = 2246 
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_upper_comp_v0.1.dump
# init = 2 (Default)
# random
#   seed = 56
# output
#   file = ../output/12taxa_upper_comp_v0.1_bigC_c1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
-8676.88,0.869565,0.0625,3,1,143.886,1.29474,299.993,81.0576,98.0408,21.5333,64.7523,0.0100137,94.6749,300,185.573,0.01,0.250897,0.145515
-8676.88,0,11.3483,-1,1,143.886,1.29474,299.993,81.0576,98.0408,21.5333,64.7523,0.0100137,94.6749,300,185.573,0.01,0.250897,0.145515
-8676.88,0,1.78771,-1,1,143.886,1.29474,299.993,81.0576,98.0408,21.5333,64.7523,0.0100137,94.6749,300,185.573,0.01,0.250897,0.145515
-8676.88,0,0.169389,-1,1,143.886,1.29474,299.993,81.0576,98.0408,21.5333,64.7523,0.0100137,94.6749,300,185.573,0.01,0.250897,0.145515
-8586.66,1,0.0128322,1,0,142.151,1.26575,299.993,80.9682,92.3122,22.613,67.8781,0.0100137,96.1768,300,178.794,0.01,0.253211,0.159086
-8547.58,1,0.0174373,1,0,139.249,1.27817,299.993,79.5274,90.4568,22.8363,69.8888,0.0100133,95.5766,300,177.438,0.01,0.248361,0.164303
-8334.99,1,0.0271022,2,0,92.8037,1.58592,299.991,65.6006,55.3315,24.738,101.498,0.0100112,119.634,300,111.567,0.01,0.20353,0.333923
-8186.43,1,0.0457918,0,0,87.4094,1.59549,299.991,67.2171,56.3386,24.3634,88.0556,0.0100119,116.45,300,109.988,0.01,0.211283,0.244505
-8186.43,1.46113e-06,0.0815037,1,1,87.4094,1.59549,299.991,67.2171,56.3386,24.3634,88.0556,0.0100119,116.45,300,109.988,0.01,0.211283,0.244505
-8178.55,0.999884,0.00636667,4,0,86.6591,1.59768,299.991,69.8414,54.9572,24.5516,88.0739,0.0100118,113.416,300,105.538,0.01,0.212869,0.24077
-8134.84,0.99992,0.0118574,4,0,61.8123,6.21341,299.994,65.7724,56.8442,22.2892,81.888,0.0100123,108.653,300,70.7629,0.01,0.221558,0.238406
-8117.15,0.982298,0.0224677,2,0,74.9323,8.37823,299.994,69.0822,63.5518,24.5349,79.8681,0.0100101,98.7876,300,95.733,0.01,0.209753,0.219733
-8110.41,1,0.0406307,2,0,74.985,9.22157,299.994,62.9275,53.3718,24.8781,85.0545,0.0100104,104.843,300,97.6002,0.01,0.212659,0.226263
-8110.41,0.00120068,0.077938,0,0,74.985,9.22157,299.994,62.9275,53.3718,24.8781,85.0545,0.0100104,104.843,300,97.6002,0.01,0.212659,0.226263
-8095.74,0.997802,0.00663178,6,0,76.7255,67.2776,299.988,65.7329,54.54,24.4287,82.3617,0.0100321,108.705,300,97.1838,0.01,0.217575,0.232073
